Gene	Gene description	Evidence
MRM1	Mitochondrial rRNA methyltransferase 1	Evidence at protein level
MRO	Maestro	Evidence at transcript level
MROH1	Maestro heat like repeat family member 1	Evidence at protein level
MROH6	Maestro heat like repeat family member 6	Evidence at protein level
MROH7	Maestro heat like repeat family member 7	Evidence at protein level
MROH8	Maestro heat like repeat family member 8	Evidence at transcript level
MRPL45	Mitochondrial ribosomal protein L45	Evidence at protein level
MS4A14	Membrane spanning 4-domains A14	Evidence at protein level
MS4A4E	Membrane spanning 4-domains A4E	Evidence at protein level
MSANTD2	Myb/SANT DNA binding domain containing 2	Evidence at protein level
MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough	Evidence at transcript level
MSC	Musculin	Evidence at protein level
MSH5	MutS homolog 5	Evidence at protein level
MSI1	Musashi RNA binding protein 1	Evidence at protein level
MSLN	Mesothelin	Evidence at protein level
MSMB	Microseminoprotein beta	Evidence at protein level
MSRA	Methionine sulfoxide reductase A	Evidence at protein level
MSS51	MSS51 mitochondrial translational activator	Evidence at protein level
MSX1	Msh homeobox 1	Evidence at protein level
MSX2	Msh homeobox 2	Evidence at protein level
MT1A	Metallothionein 1A	Evidence at protein level
MT1G	Metallothionein 1G	Evidence at protein level
MT1H	Metallothionein 1H	Evidence at protein level
MT1M	Metallothionein 1M	Evidence at protein level
MT3	Metallothionein 3	Evidence at protein level
MTARC2	Mitochondrial amidoxime reducing component 2	Evidence at protein level
MTBP	MDM2 binding protein	Evidence at protein level
MTCL1	Microtubule crosslinking factor 1	Evidence at protein level
MTFMT	Mitochondrial methionyl-tRNA formyltransferase	Evidence at protein level
MTHFD1L	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	Evidence at protein level
MTHFD2L	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like	Evidence at protein level
MTMR11	Myotubularin related protein 11	Evidence at protein level
MTMR7	Myotubularin related protein 7	Evidence at protein level
MTUS1	Microtubule associated scaffold protein 1	Evidence at protein level
MTUS2	Microtubule associated scaffold protein 2	Evidence at protein level
MUC1	"Mucin 1, cell surface associated"	Evidence at protein level
MUC20	"Mucin 20, cell surface associated"	Evidence at protein level
MUC6	"Mucin 6, oligomeric mucus/gel-forming"	Evidence at protein level
MUC7	"Mucin 7, secreted"	Evidence at protein level
MUCL1	Mucin like 1	Evidence at protein level
MUSTN1	"Musculoskeletal, embryonic nuclear protein 1"	Evidence at protein level
MX2	MX dynamin like GTPase 2	Evidence at protein level
MXD3	MAX dimerization protein 3	Evidence at protein level
MXRA8	Matrix remodeling associated 8	Evidence at protein level
MYB	"MYB proto-oncogene, transcription factor"	Evidence at protein level
MYBL1	MYB proto-oncogene like 1	Evidence at protein level
MYBPC1	Myosin binding protein C1	Evidence at protein level
MYC	"MYC proto-oncogene, bHLH transcription factor"	Evidence at protein level
MYCL	"MYCL proto-oncogene, bHLH transcription factor"	Evidence at protein level
MYCN	"MYCN proto-oncogene, bHLH transcription factor"	Evidence at protein level
MYD88	MYD88 innate immune signal transduction adaptor	Evidence at protein level
MYEF2	Myelin expression factor 2	Evidence at protein level
MYH11	Myosin heavy chain 11	Evidence at protein level
MYH14	Myosin heavy chain 14	Evidence at protein level
MYH3	Myosin heavy chain 3	Evidence at protein level
MYH7	Myosin heavy chain 7	Evidence at protein level
MYH7B	Myosin heavy chain 7B	Evidence at protein level
MYL1	Myosin light chain 1	Evidence at protein level
MYL11	Myosin light chain 11	Evidence at protein level
MYL2	Myosin light chain 2	Evidence at protein level
MYL4	Myosin light chain 4	Evidence at protein level
MYL7	Myosin light chain 7	Evidence at protein level
MYO1B	Myosin IB	Evidence at protein level
MYO1F	Myosin IF	Evidence at protein level
MYO1G	Myosin IG	Evidence at protein level
MYO5B	Myosin VB	Evidence at protein level
MYO5C	Myosin VC	Evidence at protein level
MYO6	Myosin VI	Evidence at protein level
MYO7A	Myosin VIIA	Evidence at protein level
MYOF	Myoferlin	Evidence at protein level
MYOM1	Myomesin 1	Evidence at protein level
MYOT	Myotilin	Evidence at protein level
MYOZ1	Myozenin 1	Evidence at protein level
MYOZ3	Myozenin 3	Evidence at protein level
MYRF	Myelin regulatory factor	Evidence at protein level
MYRIP	Myosin VIIA and Rab interacting protein	Evidence at protein level
MYZAP	Myocardial zonula adherens protein	Evidence at protein level
MZT2A	Mitotic spindle organizing protein 2A	Evidence at protein level
N4BP3	NEDD4 binding protein 3	Evidence at protein level
N6AMT1	N-6 adenine-specific DNA methyltransferase 1	Evidence at protein level
NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	Evidence at protein level
NAALADL2	N-acetylated alpha-linked acidic dipeptidase like 2	Evidence at protein level
NABP1	Nucleic acid binding protein 1	Evidence at protein level
NACAD	NAC alpha domain containing	Evidence at protein level
NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	Evidence at protein level
NAGS	N-acetylglutamate synthase	Evidence at protein level
NAIF1	Nuclear apoptosis inducing factor 1	Evidence at protein level
NAIP	NLR family apoptosis inhibitory protein	Evidence at protein level
NALCN	"Sodium leak channel, non-selective"	Evidence at protein level
NANOS1	Nanos C2HC-type zinc finger 1	Evidence at protein level
NAP1L2	Nucleosome assembly protein 1 like 2	Evidence at protein level
NAP1L3	Nucleosome assembly protein 1 like 3	Evidence at protein level
NAPRT	Nicotinate phosphoribosyltransferase	Evidence at protein level
NAT1	N-acetyltransferase 1	Evidence at protein level
NAT8L	N-acetyltransferase 8 like	Evidence at protein level
NAV2	Neuron navigator 2	Evidence at protein level
NAV3	Neuron navigator 3	Evidence at protein level
NBEA	Neurobeachin	Evidence at protein level
NBEAL1	Neurobeachin like 1	Evidence at protein level
NBEAL2	Neurobeachin like 2	Evidence at protein level
NBPF1	NBPF member 1	Evidence at protein level
NBPF10	NBPF member 10	Evidence at protein level
NBPF3	NBPF member 3	Evidence at protein level
NCAM1	Neural cell adhesion molecule 1	Evidence at protein level
NCAM2	Neural cell adhesion molecule 2	Evidence at protein level
NCCRP1	"NCCRP1, F-box associated domain containing"	Evidence at protein level
NCF1	Neutrophil cytosolic factor 1	Evidence at protein level
NCF2	Neutrophil cytosolic factor 2	Evidence at protein level
NCF4	Neutrophil cytosolic factor 4	Evidence at protein level
NCKAP1L	NCK associated protein 1 like	Evidence at protein level
NCKAP5	NCK associated protein 5	Evidence at protein level
NCMAP	Non-compact myelin associated protein	Evidence at transcript level
NCR3LG1	Natural killer cell cytotoxicity receptor 3 ligand 1	Evidence at protein level
NDNF	Neuron derived neurotrophic factor	Evidence at protein level
NDP	Norrin cystine knot growth factor NDP	Evidence at protein level
NDRG4	NDRG family member 4	Evidence at protein level
NDUFA4L2	NDUFA4 mitochondrial complex associated like 2	Evidence at protein level
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	Evidence at protein level
NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6	Evidence at protein level
NDUFC2-KCTD14	NDUFC2-KCTD14 readthrough	Evidence at protein level
NEB	Nebulin	Evidence at protein level
NEBL	Nebulette	Evidence at protein level
NECAB1	N-terminal EF-hand calcium binding protein 1	Evidence at protein level
NECAB2	N-terminal EF-hand calcium binding protein 2	Evidence at protein level
NECTIN3	Nectin cell adhesion molecule 3	Evidence at protein level
NEDD4	NEDD4 E3 ubiquitin protein ligase	Evidence at protein level
NEFH	Neurofilament heavy chain	Evidence at protein level
NEFL	Neurofilament light chain	Evidence at protein level
NEFM	Neurofilament medium chain	Evidence at protein level
NEGR1	Neuronal growth regulator 1	Evidence at protein level
NEIL1	Nei like DNA glycosylase 1	Evidence at protein level
NEK10	NIMA related kinase 10	Evidence at protein level
NEK11	NIMA related kinase 11	Evidence at protein level
NEK8	NIMA related kinase 8	Evidence at protein level
NELL2	Neural EGFL like 2	Evidence at protein level
NEMP2	Nuclear envelope integral membrane protein 2	Evidence at protein level
NES	Nestin	Evidence at protein level
NETO2	Neuropilin and tolloid like 2	Evidence at protein level
NEU1	Neuraminidase 1	Evidence at protein level
NEURL1	Neuralized E3 ubiquitin protein ligase 1	Evidence at protein level
NEURL1B	Neuralized E3 ubiquitin protein ligase 1B	Evidence at protein level
NEXN	Nexilin F-actin binding protein	Evidence at protein level
NFAM1	NFAT activating protein with ITAM motif 1	Evidence at protein level
NFASC	Neurofascin	Evidence at protein level
NFAT5	Nuclear factor of activated T cells 5	Evidence at protein level
NFATC1	Nuclear factor of activated T cells 1	Evidence at protein level
NFATC2	Nuclear factor of activated T cells 2	Evidence at protein level
NFATC4	Nuclear factor of activated T cells 4	Evidence at protein level
NFE2L3	NFE2 like bZIP transcription factor 3	Evidence at protein level
NFIB	Nuclear factor I B	Evidence at protein level
NFKB2	Nuclear factor kappa B subunit 2	Evidence at protein level
NFKBIB	NFKB inhibitor beta	Evidence at protein level
NFKBID	NFKB inhibitor delta	Evidence at protein level
NFKBIL1	NFKB inhibitor like 1	Evidence at protein level
NFXL1	"Nuclear transcription factor, X-box binding like 1"	Evidence at protein level
NGEF	Neuronal guanine nucleotide exchange factor	Evidence at protein level
NGF	Nerve growth factor	Evidence at protein level
NGFR	Nerve growth factor receptor	Evidence at protein level
NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1	Evidence at protein level
NHLRC4	NHL repeat containing 4	Evidence at protein level
NHS	NHS actin remodeling regulator	Evidence at protein level
NHSL1	NHS like 1	Evidence at protein level
NHSL2	NHS like 2	Evidence at protein level
NIBAN1	Niban apoptosis regulator 1	Evidence at protein level
NID2	Nidogen 2	Evidence at protein level
NINJ2	Ninjurin 2	Evidence at protein level
NINL	Ninein like	Evidence at protein level
NIPAL4	NIPA like domain containing 4	Evidence at protein level
NIPSNAP3B	Nipsnap homolog 3B	Evidence at protein level
NKAPL	NFKB activating protein like	Evidence at protein level
NKD1	NKD inhibitor of WNT signaling pathway 1	Evidence at protein level
NKD2	NKD inhibitor of WNT signaling pathway 2	Evidence at protein level
NKG7	Natural killer cell granule protein 7	Evidence at protein level
NKX3-1	NK3 homeobox 1	Evidence at protein level
NLGN1	Neuroligin 1	Evidence at protein level
NLGN2	Neuroligin 2	Evidence at protein level
NLGN3	Neuroligin 3	Evidence at protein level
NLGN4X	Neuroligin 4 X-linked	Evidence at protein level
NLGN4Y	Neuroligin 4 Y-linked	Evidence at protein level
NLN	Neurolysin	Evidence at protein level
NLRC3	NLR family CARD domain containing 3	Evidence at protein level
NLRC5	NLR family CARD domain containing 5	Evidence at protein level
NLRP2	NLR family pyrin domain containing 2	Evidence at protein level
NLRP3	NLR family pyrin domain containing 3	Evidence at transcript level
NME1-NME2	NME1-NME2 readthrough	Evidence at protein level
NME5	NME/NM23 family member 5	Evidence at protein level
NME9	NME/NM23 family member 9	Evidence at protein level
NMNAT2	Nicotinamide nucleotide adenylyltransferase 2	Evidence at protein level
NMU	Neuromedin U	Evidence at protein level
NNAT	Neuronatin	Evidence at transcript level
NNMT	Nicotinamide N-methyltransferase	Evidence at protein level
NOC4L	Nucleolar complex associated 4 homolog	Evidence at protein level
NOCT	Nocturnin	Evidence at protein level
NOD1	Nucleotide binding oligomerization domain containing 1	Evidence at protein level
NOL10	Nucleolar protein 10	Evidence at protein level
NOL3	Nucleolar protein 3	Evidence at protein level
NOMO1	NODAL modulator 1	Evidence at protein level
NOMO3	NODAL modulator 3	Evidence at protein level
NOS1AP	Nitric oxide synthase 1 adaptor protein	Evidence at protein level
NOS3	Nitric oxide synthase 3	Evidence at protein level
NOSTRIN	Nitric oxide synthase trafficking	Evidence at protein level
NOTCH1	Notch receptor 1	Evidence at protein level
NOTCH2NLB	Notch 2 N-terminal like B	Evidence at protein level
NOTCH2NLC	Notch 2 N-terminal like C	Evidence at protein level
NOTCH3	Notch receptor 3	Evidence at protein level
NOTCH4	Notch receptor 4	Evidence at protein level
NOTUM	"Notum, palmitoleoyl-protein carboxylesterase"	Evidence at protein level
NOVA1	NOVA alternative splicing regulator 1	Evidence at protein level
NOVA2	NOVA alternative splicing regulator 2	Evidence at protein level
NPAS2	Neuronal PAS domain protein 2	Evidence at protein level
NPAS3	Neuronal PAS domain protein 3	Evidence at protein level
NPHP1	Nephrocystin 1	Evidence at protein level
NPHP3-ACAD11	NPHP3-ACAD11 readthrough (NMD candidate)	Evidence at transcript level
NPIPA1	Nuclear pore complex interacting protein family member A1	Evidence at protein level
NPIPA2	Nuclear pore complex interacting protein family member A2	Evidence at protein level
NPIPA3	Nuclear pore complex interacting protein family member A3	Evidence at protein level
NPIPA8	Nuclear pore complex interacting protein family member A8	Evidence at protein level
NPIPB11	Nuclear pore complex interacting protein family member B11	Evidence at protein level
